code_of,produit,machine,cadence_theorique_saisie,cadence_reelle_observee
WH/MO/53799_SCOTCHEUSE,[PF326 PF] - IMPEC Vaisselle pomme raisin Maxi 1L - ULYS,Scotcheuse IMPEC,0.03,1.47
WH/MO/53729_FARDELEUSE,[PK213 PK] - MAGNEVA Shampooing Jaune 1L,Bouchonneuse automatique N°01_,0.03,0.67
WH/MO/53745,[FL024] - Flacon PET Parfum d'Intérieur 300ml,Souffleuse semi automatique 1,15.0,1095.41
WH/MO/53878,[FL016] - Flacon PET IMPEC Vaisselle Mini 250ml,Souffleuse semi automatique 1,20.0,225.45
WH/MO/53864_REMPLISSEUSE,[PK531] - MAGNEVA Shampooing Bleu 250ml,Etiquetteuse automatique N°1,8.76,21.8
WH/MO/53862,[PK529] - MAGNEVA Shampooing Jaune 250ml,Remplisseuse automatique N°02,0.03,45.95
WH/MO/53861,[PK528] - MAGNEVA Shampooing Vert 250ml,Remplisseuse automatique N°03,0.03,14.06
WH/MO/53829,[VR031] - IMPEC Lave sol pomme vrac,Mélangeur R+1,10.0,26.8
WH/MO/53918,[FL015] - Flacon PET IMPEC Vaisselle Maxi 1L,Souffleuse semi automatique 2,30.55,67.44
WH/MO/53759,[VR030] - IMPEC Crème lavante amande douce vrac,Mélangeur 2 tonnes N°4,0.03,7.68
WH/MO/53868_SCOTCHEUSE,[PF712 PF] - IMPEC Vaisselle fleur de cerisier Midi 500ml,Scotcheuse IMPEC,0.03,0.97
WH/MO/53888,[VR008] - IMPEC Lave mains Thé vert et aloe vera vrac,Mélangeur 2 tonnes N°3,0.03,12.52
WH/MO/53824,[VR009] - IMPEC Lave mains Pêche mangue vrac,Mélangeur 2 tonnes N°4,0.03,10.27
WH/MO/53777_part02,[PF034] - TSARA Baume Katrafay sachet,Ensacheuse automatique N° 10,1.48,1.51
WH/MO/53777_part01,[PF034] - TSARA Baume Katrafay sachet,Ensacheuse automatique N° 8,1.48,1.5
WH/MO/53867_SCOTCHEUSE,[PF711 PF] -  IMPEC Vaisselle menthe citron Midi 500ml,Scotcheuse IMPEC,0.03,1.08
